1, 1, -13.6804
2, 1, 3.6000
6, 1, 3.6000
1, 2, 3.6000
2, 2, -13.6804
3, 2, 3.6000
7, 2, 3.6000
2, 3, 3.6000
3, 3, -13.6804
4, 3, 3.6000
8, 3, 3.6000
3, 4, 3.6000
4, 4, -13.6804
5, 4, 3.6000
9, 4, 3.6000
4, 5, 3.6000
5, 5, -13.6804
10, 5, 3.6000
1, 6, 3.6000
6, 6, -14.4000
7, 6, 3.6000
11, 6, 3.6000
2, 7, 3.6000
6, 7, 3.6000
7, 7, -14.4000
8, 7, 3.6000
12, 7, 3.6000
3, 8, 3.6000
7, 8, 3.6000
8, 8, -14.4000
9, 8, 3.6000
13, 8, 3.6000
4, 9, 3.6000
8, 9, 3.6000
9, 9, -14.4000
10, 9, 3.6000
14, 9, 3.6000
5, 10, 3.6000
9, 10, 3.6000
10, 10, -14.4000
15, 10, 3.6000
6, 11, 3.6000
11, 11, -14.4000
12, 11, 3.6000
16, 11, 3.6000
7, 12, 3.6000
11, 12, 3.6000
12, 12, -14.4000
13, 12, 3.6000
17, 12, 3.6000
8, 13, 3.6000
12, 13, 3.6000
13, 13, -14.4000
14, 13, 3.6000
18, 13, 3.6000
9, 14, 3.6000
13, 14, 3.6000
14, 14, -14.4000
15, 14, 3.6000
19, 14, 3.6000
10, 15, 3.6000
14, 15, 3.6000
15, 15, -14.4000
20, 15, 3.6000
11, 16, 3.6000
16, 16, -14.4000
17, 16, 3.6000
21, 16, 3.6000
12, 17, 3.6000
16, 17, 3.6000
17, 17, -14.4000
18, 17, 3.6000
22, 17, 3.6000
13, 18, 3.6000
17, 18, 3.6000
18, 18, -14.4000
19, 18, 3.6000
23, 18, 3.6000
14, 19, 3.6000
18, 19, 3.6000
19, 19, -14.4000
20, 19, 3.6000
24, 19, 3.6000
15, 20, 3.6000
19, 20, 3.6000
20, 20, -14.4000
25, 20, 3.6000
16, 21, 3.6000
21, 21, -14.4000
22, 21, 3.6000
17, 22, 3.6000
21, 22, 3.6000
22, 22, -14.4000
23, 22, 3.6000
18, 23, 3.6000
22, 23, 3.6000
23, 23, -14.4000
24, 23, 3.6000
19, 24, 3.6000
23, 24, 3.6000
24, 24, -14.4000
25, 24, 3.6000
20, 25, 3.6000
24, 25, 3.6000
25, 25, -14.4000
